Profiling results:
------------------

Executable name: D:\GitHub\VisualFBEditor\Controls\MyFbFramework\examples\Grid\Grid Example.exe
Launched on: 02-09-2025, 11:50:06
Total program execution time: 300.9 seconds


Per function results:

        Function:                                                                         Count:       Time:    Total%:    Proc%:

(main)                                                                                         1   300.91772    100.00%

        __ZN2MY3SYS5FORMS4FORM4SHOWEv@4                                                        1     0.08297      0.03%     0.03%
        __ZN2MY3SYS5FORMS13COMMANDBUTTONC1Ev                                                   9     0.00098      0.00%     0.00%
        __ZN2MY11APPLICATION15DARKMODE__set__Eb@8                                              1     0.00044      0.00%     0.00%
        __ZN2MY3SYS5FORMS4GRIDC1Ev                                                             1     0.00038      0.00%     0.00%
        __ZN2MY3SYS5FORMS4FORMC1Ev                                                             1     0.00035      0.00%     0.00%
        __ZN2MY3SYS5FORMS8CHECKBOXC1Ev                                                         2     0.00025      0.00%     0.00%
        INITCOMMONCONTROLSEX                                                                   1     0.00024      0.00%     0.00%
        __ZN2MY3SYS5FORMS5LABELC1Ev                                                            1     0.00021      0.00%     0.00%
        VERQUERYVALUE                                                                          1     0.00019      0.00%     0.00%
        __ZN2MY3SYS5FORMS7GRIDROWixEl@8                                                       17     0.00016      0.00%     0.00%
        __ZN2MY3SYS5FORMS11GRIDCOLUMNS3ADDERwllNS1_12COLUMNFORMATEbll@32                       6     0.00007      0.00%     0.00%
        __ZN2MY3SYS5FORMS8GRIDCELL11TEXT__set__ERw@8                                          16     0.00006      0.00%     0.00%
        GETLOCALEINFO                                                                          1     0.00003      0.00%     0.00%
        GETFILEVERSIONINFOSIZE                                                                 1     0.00003      0.00%     0.00%
        __ZN2MY3SYS5FORMS8GRIDROWS3ADDERwllllbll@36                                            4     0.00003      0.00%     0.00%
        __ZN2MY3SYS5FORMS7CONTROL13PARENT__set__EPS2_@8                                       13     0.00002      0.00%     0.00%
        CREATESOLIDBRUSH                                                                       6     0.00002      0.00%     0.00%
        __ZN2MY3SYS5FORMS13COMMANDBUTTON11TEXT__set__ERw@8                                     9     0.00002      0.00%     0.00%
        GETDC                                                                                  1     0.00002      0.00%     0.00%
        __ZN2MY3SYS5FORMS7CONTROL16BACKCOLOR__set__El@8                                        1     0.00002      0.00%     0.00%
        WLET                                                                                   7     0.00002      0.00%     0.00%
        __ZN2MY3SYS5FORMS4GRID5CELLSEll@12                                                     8     0.00002      0.00%     0.00%
        GETFILEVERSIONINFO                                                                     1     0.00001      0.00%     0.00%
        __ZN2MY3SYS14COMPONENTMODEL9COMPONENT11NAME__set__ERw@8                               14     0.00001      0.00%     0.00%
        __ZN2MY11APPLICATION8GETFONTSEv@4                                                      1     0.00001      0.00%     0.00%
        __ZN2MY11APPLICATION7EXENAMEEv@4                                                       1     0.00001      0.00%     0.00%
        RELEASEDC                                                                              1     0.00001      0.00%     0.00%
        __ZN2MY3SYS14COMPONENTMODEL9COMPONENT9SETBOUNDSEllll@20                               14     0.00001      0.00%     0.00%
        __ZN2MY3SYS7DRAWING4FONT11NAME__set__ERw@8                                             1     0.00001      0.00%     0.00%
        EXEPATH                                                                                1     0.00001      0.00%     0.00%
